"","X1101.2.gtf","X1548.2.gtf","X1628.2.gtf","Sample4.2.gtf","Sample5.2.gtf","Sample6.2.gtf"
"MSTRG.22273",5,0,14,20,20,24
"MSTRG.22274",10,4,14,19,22,16
"MSTRG.51340",16,12,17,18,24,11
"MSTRG.51343",5260,4307,2871,109,86,101
"MSTRG.51342",117,285,49,29,20,16
"MSTRG.51345",89,731,302,14,11,6
"MSTRG.51347",470,223,331,28,12,45
"MSTRG.51346",13,7,14,15,23,16
"MSTRG.51349",600,575,216,36,54,37
"MSTRG.51348",494,378,415,8,0,10
"MSTRG.8670",962,889,584,36,24,46
"MSTRG.8671",546,485,431,48,24,25
"MSTRG.8673",370,379,441,29,27,19
"MSTRG.8674",0,0,0,18,26,16
"MSTRG.8678",12,9,6,46,32,32
"MSTRG.8679",1,0,1,56,34,44
"MSTRG.8536",0,0,3,15,12,34
"MSTRG.4351",0,0,0,14,12,14
"MSTRG.8534",0,0,0,23,28,14
"MSTRG.8539",0,0,0,18,33,11
"MSTRG.719",58,243,28,16,19,14
"MSTRG.23347",547,23,15,53,2,0
"MSTRG.5124",388,255,361,15,15,13
"MSTRG.16476",0,0,0,12,40,46
"MSTRG.43843",972,946,667,13,11,23
"MSTRG.43842",838,471,670,18,9,9
"MSTRG.43845",606,559,442,41,37,39
"MSTRG.43844",30,15,24,9,15,15
"MSTRG.43846",318,258,115,30,29,29
"MSTRG.43849",435,384,140,13,10,10
"MSTRG.43848",320,378,266,26,43,35
"MSTRG.42344",168,542,68,26,14,9
"MSTRG.21998",0,5,0,35,28,28
"MSTRG.42347",5,0,0,45,36,40
"MSTRG.45289",94,135,85,18,28,13
"MSTRG.2067",8,2,0,16,24,14
"MSTRG.8133",185,135,152,10,13,0
"MSTRG.21206",90,72,22,44,30,18
"MSTRG.41018",426,401,663,7,9,12
"MSTRG.15046",3,82,46,47,21,43
"MSTRG.15047",243,4533,3058,53,54,120
"MSTRG.15044",105,99,82,33,26,25
"MSTRG.15045",86,785,287,29,29,16
"MSTRG.15048",237,3112,2974,9,5,41
"MSTRG.15049",110,857,925,6,14,26
"MSTRG.10272",46,21,22,34,33,39
"MSTRG.10273",4033,2654,1767,81,45,88
"MSTRG.10270",305,440,311,13,22,34
"MSTRG.10271",566,551,468,22,28,20
"MSTRG.10276",406,287,378,76,48,54
"MSTRG.10277",282,202,239,0,10,0
"MSTRG.10275",144,88,54,20,17,9
"MSTRG.10278",100,109,91,18,0,17
"MSTRG.10279",62,40,36,0,10,3
"MSTRG.5753",0,0,0,21,11,12
"MSTRG.49146",0,0,0,14,20,17
"MSTRG.3978",437,491,287,32,25,27
"MSTRG.3970",0,0,0,22,27,21
"MSTRG.3976",0,0,10,35,27,56
"MSTRG.3977",0,4,14,46,28,54
"MSTRG.3975",1,0,0,15,25,16
"MSTRG.18441",0,0,0,20,26,15
"MSTRG.18442",53,67,1,17,18,18
"MSTRG.10516",0,0,0,21,21,30
"MSTRG.46591",4,4,0,24,21,27
"MSTRG.28806",8,21,0,18,11,23
"MSTRG.6222",31,16,51,29,15,31
"MSTRG.28800",43420,22113,31042,20,5,25
"MSTRG.40586",11,6,5,12,17,9
"MSTRG.5108",221,187,205,9,14,13
"MSTRG.33204",7,0,0,28,22,30
"MSTRG.33205",1205,817,528,167,154,145
"MSTRG.33206",56,112,30,6,8,8
"MSTRG.33207",3895,4724,1914,229,145,166
"MSTRG.33202",26,32,61,21,13,26
"MSTRG.33203",19,54,10,12,6,25
"MSTRG.44185",527,392,441,35,23,21
"MSTRG.44184",61,89,54,7,10,9
"MSTRG.44187",29,13,6,14,13,13
"MSTRG.44186",321,245,456,6,0,2
"MSTRG.44181",234,51,80,13,0,6
"MSTRG.44183",751,598,449,35,42,45
"MSTRG.42349",90,204,123,39,27,46
"MSTRG.42928",8,2,6,25,31,22
"MSTRG.42924",0,0,0,20,11,28
"MSTRG.42927",11,0,3,12,9,14
"MSTRG.42926",246,222,236,11,12,13
"MSTRG.42921",6789,4815,3116,79,33,108
"MSTRG.2108",36,6,17,27,11,5
"MSTRG.42923",8,6,2,62,54,56
"MSTRG.42922",135,47,88,19,16,21
"MSTRG.44454",668,425,334,96,90,84
"MSTRG.8999",0,0,0,11,11,33
"MSTRG.44452",578,578,728,29,34,33
"MSTRG.44451",258,255,196,19,23,13
"MSTRG.44450",607,487,597,25,14,25
"MSTRG.8995",0,0,0,27,18,17
"MSTRG.8997",0,0,0,13,11,36
"MSTRG.32552",157,56,54,0,3,4
"MSTRG.32551",94,72,45,0,3,7
"MSTRG.11290",12182,10611,12549,20,7,21
"MSTRG.8332",16,0,0,9,12,12
"MSTRG.8337",0,0,0,36,19,15
"MSTRG.1288",143,129,95,13,12,13
"MSTRG.24821",433,468,419,11,12,17
"MSTRG.13908",476,725,562,26,18,24
"MSTRG.480",237,169,243,0,0,0
"MSTRG.481",105,118,61,11,9,8
"MSTRG.486",14,44,22,51,41,37
"MSTRG.487",636,844,805,13,8,17
"MSTRG.485",287,362,218,0,7,14
"MSTRG.488",9,0,6,40,15,31
"MSTRG.489",388,426,533,13,0,8
"MSTRG.13903",264,228,264,16,0,20
"MSTRG.34898",10,7,6,21,14,13
"MSTRG.17483",44,42,36,8,0,6
"MSTRG.34891",16,0,2,10,15,11
"MSTRG.34892",0,47,10,44,41,50
"MSTRG.34893",0,0,0,26,16,22
"MSTRG.34895",0,0,6,14,18,23
"MSTRG.34896",0,4,0,15,14,14
"MSTRG.13907",2509,2099,2785,31,11,30
"MSTRG.17487",12,202,76,0,12,9
"MSTRG.24824",139,151,175,20,11,16
"MSTRG.21898",0,0,0,12,18,25
"MSTRG.21899",0,0,21,11,11,17
"MSTRG.21896",19,0,0,19,11,22
"MSTRG.21894",0,0,0,24,14,12
"MSTRG.21892",0,0,4,54,37,35
"MSTRG.21890",0,0,0,35,12,27
"MSTRG.31118",0,4,13,31,19,13
"MSTRG.31119",0,0,0,22,19,20
"MSTRG.31113",0,0,1,18,16,24
"MSTRG.31110",76,7,38,53,20,90
"MSTRG.31111",2,14,30,19,16,26
"MSTRG.31117",2,0,5,36,35,36
"MSTRG.16930",27,271,65,23,18,14
"MSTRG.36661",2,0,42,13,12,16
"MSTRG.36663",133,117,131,10,3,5
"MSTRG.36662",111,92,11,0,9,8
"MSTRG.36665",1436,1044,942,31,19,37
"MSTRG.36664",142,100,164,14,6,6
"MSTRG.6741",11,24,40,0,3,11
"MSTRG.30797",1,1,0,35,21,17
"MSTRG.30795",0,0,0,23,13,12
"MSTRG.20419",60,58,16,3,4,5
"MSTRG.20415",317,308,68,77,80,30
"MSTRG.20414",133,125,74,29,28,33
"MSTRG.20417",30,51,6,6,16,13
"MSTRG.20416",99,179,238,6,0,8
"MSTRG.20410",551,600,393,12,12,9
"MSTRG.20413",75,27,39,0,8,2
"MSTRG.20412",2338,467,335,70,53,46
"MSTRG.17211",0,0,0,33,25,33
"MSTRG.29740",78,83,59,8,7,6
"MSTRG.11128",50,71,24,7,24,15
"MSTRG.16160",0,0,29,15,9,20
"MSTRG.27825",487,214,301,89,61,79
"MSTRG.27826",62,107,83,13,10,5
"MSTRG.27821",131,104,49,29,14,16
"MSTRG.27820",56,41,46,9,5,0
"MSTRG.27823",50,73,40,21,18,18
"MSTRG.27822",19,5,8,20,13,13
"MSTRG.27829",61,16,27,42,22,34
"MSTRG.27828",70,133,67,10,21,17
"MSTRG.14320",38,39,37,9,15,14
"MSTRG.49001",90,46,89,2,2,15
"MSTRG.36088",12,2,18,13,10,7
"MSTRG.5258",4,0,12,14,9,12
"MSTRG.35310",1,0,0,28,14,23
"MSTRG.35311",283,201,161,14,12,15
"MSTRG.5256",0,0,47,17,5,11
"MSTRG.10667",54,12,49,6,6,14
"MSTRG.37223",403,310,107,83,93,40
"MSTRG.37220",9,12,8,25,59,11
"MSTRG.37221",1860,1108,1252,32,30,24
"MSTRG.37225",5,13,3,18,11,9
"MSTRG.25544",0,0,0,22,29,30
"MSTRG.37228",1266,1092,913,19,17,0
"MSTRG.37229",57,119,718,4,7,3
"MSTRG.25540",0,0,0,29,26,26
"MSTRG.25542",0,0,0,14,13,21
"MSTRG.25543",0,0,0,22,13,12
"MSTRG.29431",1793,1035,611,50,45,59
"MSTRG.29432",3869,2921,2148,299,167,276
"MSTRG.29433",30,62,16,24,25,26
"MSTRG.29435",28,81,40,30,14,23
"MSTRG.17733",78,61,68,17,22,21
"MSTRG.29439",15,26,5,14,10,20
"MSTRG.17736",13,15,9,0,12,7
"MSTRG.48981",28,7,17,32,13,23
"MSTRG.48980",0,43,0,47,39,32
"MSTRG.48983",0,1,0,17,19,17
"MSTRG.48984",28,7,0,26,30,12
"MSTRG.17735",599,433,103,26,15,10
"MSTRG.35927",715,521,623,21,24,32
"MSTRG.49005",0,0,13,30,42,35
"MSTRG.50240",0,0,0,26,14,19
"MSTRG.11309",1625,1823,2340,27,18,10
"MSTRG.11308",333,403,288,15,12,15
"MSTRG.41571",12,0,50,47,11,46
"MSTRG.11301",295,269,227,10,8,16
"MSTRG.11303",248,517,536,21,21,31
"MSTRG.11302",198,305,173,16,14,12
"MSTRG.11305",0,18,14,11,6,7
"MSTRG.11304",25,48,57,8,5,6
"MSTRG.11307",95,72,120,6,3,11
"MSTRG.11306",134,131,210,4,2,11
"MSTRG.22700",1548,517,944,2,5,3
"MSTRG.22707",226,205,185,8,11,14
"MSTRG.22706",25,42,119,0,7,9
"MSTRG.167",48,15,7,29,45,19
"MSTRG.26016",4,0,3,25,22,21
"MSTRG.161",55,15,12,40,30,25
"MSTRG.26018",9,4,3,43,33,23
"MSTRG.23256",67,47,28,76,81,80
"MSTRG.23257",54,54,25,49,56,57
"MSTRG.23255",365,46,102,23,18,10
"MSTRG.23252",8217,8627,5293,46,34,51
"MSTRG.23253",3153,2245,2930,18,6,9
"MSTRG.23250",429,268,385,50,12,24
"MSTRG.23251",66,74,107,4,0,0
"MSTRG.162",10,6,3,23,24,13
"MSTRG.23258",653,77,200,31,34,23
"MSTRG.23259",247,359,198,18,18,22
"MSTRG.24705",742,543,267,42,54,26
"MSTRG.24704",156,109,172,15,13,26
"MSTRG.24707",2534,1845,1586,36,15,46
"MSTRG.24706",2491,1471,1793,14,14,18
"MSTRG.24701",141,121,109,20,17,12
"MSTRG.24700",464,364,429,13,9,11
"MSTRG.24703",1515,1135,902,18,16,21
"MSTRG.24702",264,186,309,33,5,20
"MSTRG.24709",326,188,192,7,12,3
"MSTRG.24708",506,597,662,55,29,20
"MSTRG.28159",1268,1096,1084,35,24,40
"MSTRG.35922",16,30,16,15,7,9
"MSTRG.40952",7,4,20,3,18,15
"MSTRG.24520",887,735,289,15,18,17
"MSTRG.16281",11,46,10,31,33,3
"MSTRG.40950",461,327,223,76,54,59
"MSTRG.24522",88,206,69,12,17,33
"MSTRG.24862",155,105,158,10,10,5
"MSTRG.24525",2271,1772,1013,25,22,54
"MSTRG.24863",90,86,119,8,4,8
"MSTRG.28150",431,363,240,15,9,20
"MSTRG.24527",485,994,1054,19,14,11
"MSTRG.6457",32,41,34,0,0,0
"MSTRG.28153",740,749,429,81,49,56
"MSTRG.6454",4,0,0,20,23,17
"MSTRG.48206",0,0,0,17,24,20
"MSTRG.6455",11,0,2,30,33,15
"MSTRG.28155",1343,1165,1068,11,9,13
"MSTRG.28156",948,728,743,13,16,15
"MSTRG.48205",9,12,6,8,15,12
"MSTRG.29732",0,13,22,0,13,4
"MSTRG.1527",339,423,417,12,21,22
"MSTRG.34318",0,0,0,33,40,28
"MSTRG.10474",10,0,3,44,21,16
"MSTRG.10477",218,218,248,20,14,12
"MSTRG.47248",7,2,4,15,14,14
"MSTRG.29731",128,47,84,3,7,4
"MSTRG.46727",0,0,0,32,27,52
"MSTRG.46726",66,21,46,15,4,16
"MSTRG.46720",258,140,140,21,24,57
"MSTRG.27056",0,0,0,13,23,23
"MSTRG.27050",0,0,0,31,31,24
"MSTRG.27051",0,0,0,43,31,19
"MSTRG.27052",0,0,0,34,36,16
"MSTRG.27058",6,0,0,26,26,15
"MSTRG.51987",11,0,0,21,28,21
"MSTRG.41978",81,62,16,15,5,5
"MSTRG.41977",86,38,15,21,7,9
"MSTRG.41976",168,187,127,26,9,9
"MSTRG.41971",16,35,18,16,18,10
"MSTRG.41970",1731,457,349,21,21,23
"MSTRG.49857",58,136,110,8,5,10
"MSTRG.17978",361,272,91,43,48,57
"MSTRG.17974",103,68,98,11,12,8
"MSTRG.17976",14,68,21,22,12,20
"MSTRG.17972",29,46,51,43,37,50
"MSTRG.51982",521,462,246,14,15,15
"MSTRG.51980",0,0,0,28,26,29
"MSTRG.33837",3323,3843,2195,21,11,13
"MSTRG.36804",324,214,278,19,8,12
"MSTRG.5817",16,22,15,6,24,9
"MSTRG.5816",98,102,56,11,15,14
"MSTRG.5815",814,822,730,30,21,6
"MSTRG.33048",455,302,533,57,28,51
"MSTRG.33049",192,155,171,11,16,14
"MSTRG.33043",161,147,140,6,9,6
"MSTRG.33040",7,1,14,24,18,16
"MSTRG.33041",1332,1233,1141,19,20,25
"MSTRG.33046",768,481,579,50,52,50
"MSTRG.33047",522,412,573,31,19,26
"MSTRG.33044",302,182,166,20,28,26
"MSTRG.33045",1725,1256,887,38,7,34
"MSTRG.26839",3,7,0,42,24,31
"MSTRG.26836",12,3,0,21,11,21
"MSTRG.26832",184,176,209,15,29,33
"MSTRG.53492",47,198,118,0,12,6
"MSTRG.53490",14,13,22,15,13,9
"MSTRG.38748",4,3,3,30,23,26
"MSTRG.38745",0,0,0,21,42,65
"MSTRG.38743",0,0,2,21,23,42
"MSTRG.44617",12,6,34,72,19,34
"MSTRG.44616",57,0,34,15,3,6
"MSTRG.44610",0,0,0,71,14,55
"MSTRG.44613",208,0,117,25,2,10
"MSTRG.44612",1998,0,2668,9,5,11
"MSTRG.44618",25,45,16,3,6,5
"MSTRG.40767",316,240,211,12,11,12
"MSTRG.48519",1057,841,657,35,20,32
"MSTRG.53728",3,12,2,18,35,16
"MSTRG.40763",1741,1327,801,140,84,90
"MSTRG.40762",250,175,90,5,0,9
"MSTRG.48512",14,6,31,12,15,16
"MSTRG.48513",0,0,0,12,17,11
"MSTRG.40769",287,880,276,21,17,25
"MSTRG.53720",4,1289,787,0,98,93
"MSTRG.48515",0,0,0,13,40,52
"MSTRG.40484",454,670,395,64,72,120
"MSTRG.40622",456,307,225,9,9,3
"MSTRG.2755",6,0,0,21,25,14
"MSTRG.40485",187,37,154,45,31,53
"MSTRG.40623",2096,1792,738,17,19,15
"MSTRG.47454",31,40,72,62,53,52
"MSTRG.53664",0,0,0,12,17,11
"MSTRG.40487",16,17,0,134,95,71
"MSTRG.48430",1256,1130,1201,20,20,19
"MSTRG.42692",0,0,0,14,14,11
"MSTRG.47453",33,70,33,46,53,45
"MSTRG.32798",1,3,0,12,12,13
"MSTRG.48432",5546,4615,5253,13,13,13
"MSTRG.32793",12,0,0,12,11,7
"MSTRG.48436",309,236,314,15,18,25
"MSTRG.18844",0,5,0,78,27,59
"MSTRG.18847",0,0,0,79,25,82
"MSTRG.18849",268,154,456,4,2,2
"MSTRG.16964",96,68,82,14,19,12
"MSTRG.3788",2,3,2,12,14,12
"MSTRG.3781",0,0,0,17,20,17
"MSTRG.9801",47,12,14,23,22,36
"MSTRG.9802",379,287,268,6,9,18
"MSTRG.9803",133,203,165,10,0,18
"MSTRG.4837",16,3,20,12,13,3
"MSTRG.9806",874,802,722,25,16,28
"MSTRG.4835",49,39,0,22,21,4
"MSTRG.9808",43,27,20,54,61,51
"MSTRG.9809",368,404,250,61,61,59
"MSTRG.4838",104,275,103,57,103,34
"MSTRG.2787",0,0,0,40,33,24
"MSTRG.42617",0,7,0,43,41,24
"MSTRG.42616",0,0,13,40,29,45
"MSTRG.42615",0,0,0,14,17,20
"MSTRG.3430",0,0,22,13,8,22
"MSTRG.3437",0,0,0,28,16,15
"MSTRG.3439",5,35,35,25,43,31
"MSTRG.3438",5,8,34,28,28,26
"MSTRG.52329",0,0,0,37,20,22
"MSTRG.9712",17,30,26,14,15,3
"MSTRG.4784",2,6,0,14,34,27
"MSTRG.4787",737,880,455,22,17,17
"MSTRG.4781",34,11,16,22,18,11
"MSTRG.4782",23,11,10,30,19,9
"MSTRG.41149",131,106,183,0,6,11
"MSTRG.41146",2924,2056,1959,30,14,24
"MSTRG.41147",84,58,64,0,0,5
"MSTRG.2753",0,0,1,12,12,14
"MSTRG.41145",1172,1352,1022,41,30,37
"MSTRG.41142",614,459,328,21,33,26
"MSTRG.41143",11541,9620,14899,40,5,34
"MSTRG.41140",0,0,0,24,20,14
"MSTRG.41141",511,357,564,3,11,0
"MSTRG.49393",8,0,0,93,76,55
"MSTRG.45322",20,0,14,16,16,31
"MSTRG.49394",17,16,10,24,23,11
"MSTRG.49399",0,22,47,10,35,29
"MSTRG.9713",2,2,0,14,17,14
"MSTRG.784",40,55,51,15,16,11
"MSTRG.39824",519,260,425,4,12,7
"MSTRG.39829",181,786,649,38,51,66
"MSTRG.1493",24,6,0,14,36,38
"MSTRG.1492",1163,1672,23,18,16,16
"MSTRG.1491",261,200,163,0,9,6
"MSTRG.1495",7,55,0,13,46,34
"MSTRG.1494",7,3,4,62,51,102
"MSTRG.1498",29,39,5,6,6,13
"MSTRG.21704",0,0,0,31,15,32
"MSTRG.50604",1633,1249,1349,18,16,30
"MSTRG.50602",5161,4888,3484,114,42,99
"MSTRG.50601",73,81,107,0,8,10
"MSTRG.50608",1155,3420,769,36,53,40
"MSTRG.9376",709,1678,1139,21,19,19
"MSTRG.9374",462,477,399,25,26,38
"MSTRG.9375",2093,280,322,28,24,23
"MSTRG.9373",51,98,51,10,2,4
"MSTRG.9370",8321,9208,4842,112,67,85
"MSTRG.9371",12,58,37,8,11,9
"MSTRG.22822",175,98,185,0,0,4
"MSTRG.9378",2017,1131,500,29,30,23
"MSTRG.1145",534,119,349,47,29,35
"MSTRG.1147",0,0,12,15,0,16
"MSTRG.1142",5,31,18,55,28,31
"MSTRG.1149",330,130,105,28,18,30
"MSTRG.50083",0,0,0,12,12,14
"MSTRG.40193",9,16,4,37,32,35
"MSTRG.30555",0,0,0,20,17,25
"MSTRG.30559",0,0,0,15,11,12
"MSTRG.34421",3743,3280,2080,102,92,125
"MSTRG.34420",0,0,32,63,52,74
"MSTRG.9718",9,1,2,12,15,12
"MSTRG.34429",92,111,137,18,13,15
"MSTRG.34428",653,564,238,38,32,33
"MSTRG.9710",45,50,178,18,30,21
"MSTRG.9711",6,6,4,72,58,61
"MSTRG.4541",228,176,144,16,12,10
"MSTRG.19001",47,23,26,14,15,9
"MSTRG.4546",11,17,29,44,58,62
"MSTRG.4547",121,105,148,2,4,7
"MSTRG.39176",689,415,525,9,0,9
"MSTRG.39177",438,379,392,11,12,11
"MSTRG.9716",14,28,24,10,9,8
"MSTRG.39173",18,28,27,0,2,2
"MSTRG.39178",502,522,196,12,17,14
"MSTRG.39179",97,535,112,86,91,71
"MSTRG.27020",0,0,0,12,14,11
"MSTRG.38888",109,33,21,4,9,14
"MSTRG.38887",2,13,7,38,11,6
"MSTRG.38885",638,560,502,17,16,12
"MSTRG.38884",21,19,19,11,3,0
"MSTRG.38883",42,44,18,4,4,0
"MSTRG.4549",1278,1149,444,93,75,76
"MSTRG.5499",20,23,3,12,16,11
"MSTRG.5491",4,582,575,0,18,20
"MSTRG.19922",7,13,18,10,19,22
"MSTRG.37020",325,195,170,26,27,29
"MSTRG.20446",531,272,216,18,22,45
"MSTRG.37022",223,163,569,9,7,13
"MSTRG.37023",436,352,237,30,35,29
"MSTRG.37024",6,7,8,44,30,43
"MSTRG.37025",943,717,549,85,44,66
"MSTRG.37026",602,614,319,26,37,22
"MSTRG.37027",40,32,69,2,11,10
"MSTRG.37028",945,789,534,41,40,35
"MSTRG.37029",1117,840,502,50,34,63
"MSTRG.17148",2085,1730,2890,0,4,5
"MSTRG.38229",0,0,0,11,12,13
"MSTRG.38228",109,98,128,0,3,3
"MSTRG.38223",397,353,324,11,15,12
"MSTRG.38222",588,365,238,22,27,28
"MSTRG.38221",60,66,49,23,19,25
"MSTRG.38220",194,153,62,45,31,23
"MSTRG.38227",124,146,247,0,4,0
"MSTRG.38226",497,901,1386,4,6,8
"MSTRG.38225",570,378,575,21,29,26
"MSTRG.38224",112,123,73,11,13,8
"MSTRG.17141",661,483,502,21,20,39
"MSTRG.46508",652,315,234,24,36,38
"MSTRG.13567",124,16,19,28,19,21
"MSTRG.46502",393,313,367,15,12,21
"MSTRG.52242",19,10,18,31,26,32
"MSTRG.46501",163,158,201,6,2,0
"MSTRG.8054",3,9,55,16,24,14
"MSTRG.46500",585,563,498,9,9,9
"MSTRG.8055",3,10,67,18,24,19
"MSTRG.46507",328,365,142,10,0,16
"MSTRG.32128",283,86,51,17,5,10
"MSTRG.46505",542,613,226,36,25,24
"MSTRG.13560",6,2,12,22,23,23
"MSTRG.8051",3,0,57,15,14,20
"MSTRG.23060",26,31,19,14,18,10
"MSTRG.16230",0,0,0,17,19,20
"MSTRG.16233",3,0,0,45,30,60
"MSTRG.8059",0,5,0,29,24,17
"MSTRG.36049",96,1048,683,7,17,7
"MSTRG.36048",235,1377,2189,13,15,20
"MSTRG.36041",233,335,103,40,43,48
"MSTRG.36040",1167,713,653,24,26,22
"MSTRG.36043",182,214,195,33,27,45
"MSTRG.32125",49,7,12,45,8,15
"MSTRG.36044",20,0,4,30,34,23
"MSTRG.36047",319,1925,1326,34,38,43
"MSTRG.36046",51,120,79,22,26,17
"MSTRG.8819",8,38,5,209,193,164
"MSTRG.8815",0,0,0,68,58,47
"MSTRG.5198",964,903,625,25,20,18
"MSTRG.32968",98,147,89,15,35,35
"MSTRG.48298",0,0,0,38,28,31
"MSTRG.28154",112,129,107,15,14,9
"MSTRG.45668",83,99,117,21,13,11
"MSTRG.35539",24,0,16,18,30,13
"MSTRG.15630",326,204,205,20,32,29
"MSTRG.35531",189,192,205,5,16,7
"MSTRG.35532",123,136,105,0,3,5
"MSTRG.35533",702,588,268,24,52,48
"MSTRG.35534",0,0,0,16,12,13
"MSTRG.35536",0,0,0,39,35,26
"MSTRG.35537",59,100,125,10,9,7
"MSTRG.2682",188,128,100,14,18,20
"MSTRG.31096",60,11,22,4,5,7
"MSTRG.31094",6,6,5,21,12,29
"MSTRG.367",219,69,71,38,23,43
"MSTRG.366",103,108,200,5,7,0
"MSTRG.365",82,61,92,8,0,0
"MSTRG.31098",0,0,0,16,13,22
"MSTRG.28605",11,2,6,11,13,12
"MSTRG.37877",16,4,6,19,25,24
"MSTRG.37875",0,0,2,12,11,11
"MSTRG.37874",1000,1007,895,17,23,29
"MSTRG.37873",39,61,66,10,7,3
"MSTRG.37872",49,75,80,0,5,0
"MSTRG.37871",3219,2163,1660,35,27,50
"MSTRG.37870",28,13,13,30,16,28
"MSTRG.37879",66,14,22,32,36,31
"MSTRG.37878",54,0,11,39,46,58
"MSTRG.31329",6,0,0,29,28,15
"MSTRG.5228",509,337,610,12,9,7
"MSTRG.31320",29,24,11,14,17,18
"MSTRG.31322",9,5,3,29,16,19
"MSTRG.31325",8,0,0,20,14,18
"MSTRG.31327",0,0,0,12,35,31
"MSTRG.52036",383,255,475,17,16,18
"MSTRG.52037",190,113,67,8,4,8
"MSTRG.52034",1939,1582,1218,13,19,10
"MSTRG.52032",50,20,31,20,13,22
"MSTRG.52030",244,169,139,11,10,7
"MSTRG.52031",27,18,24,7,5,12
"MSTRG.35365",0,0,28,17,12,7
"MSTRG.52038",234,450,318,39,12,54
"MSTRG.52039",122,166,169,22,9,25
"MSTRG.3220",24,57,50,16,22,21
"MSTRG.14971",0,0,0,34,29,35
"MSTRG.14974",4,4,4,54,28,30
"MSTRG.14976",0,0,0,99,43,25
"MSTRG.17400",176,200,288,9,0,13
"MSTRG.13980",105,79,123,0,4,0
"MSTRG.17402",580,559,541,20,9,12
"MSTRG.13982",116,96,128,0,0,0
"MSTRG.17404",704,588,640,12,8,9
"MSTRG.13984",103,105,35,15,13,8
"MSTRG.13987",16,4,15,16,16,20
"MSTRG.13986",40,30,8,11,17,11
"MSTRG.13989",54,35,61,25,21,13
"MSTRG.17409",336,314,413,0,9,11
"MSTRG.26585",0,0,0,37,34,20
"MSTRG.26586",0,0,0,20,17,17
"MSTRG.26583",0,2,0,13,21,14
"MSTRG.30051",1,0,0,14,16,29
"MSTRG.30052",29,0,4,21,25,30
"MSTRG.26588",0,42,0,15,15,4
"MSTRG.29677",357,320,140,113,32,73
"MSTRG.16815",1131,1172,1104,8,15,7
"MSTRG.37972",1818,1673,2044,0,5,5
"MSTRG.16852",134,112,90,22,23,20
"MSTRG.27982",1470,5195,2443,6,21,15
"MSTRG.27986",143,125,134,9,10,8
"MSTRG.27987",33,23,30,4,7,27
"MSTRG.27984",47,46,49,0,11,19
"MSTRG.27985",339,283,349,3,7,0
"MSTRG.27988",211,111,111,18,34,52
"MSTRG.27989",83,228,63,33,54,56
"MSTRG.27673",0,0,0,13,11,11
"MSTRG.11800",0,0,0,19,14,17
"MSTRG.11806",7,4,10,31,20,31
"MSTRG.13388",8,0,78,36,29,16
"MSTRG.22008",911,934,561,68,70,69
"MSTRG.22005",493,522,360,23,21,29
"MSTRG.22006",81,78,77,27,15,20
"MSTRG.22007",0,0,0,19,17,16
"MSTRG.22000",0,0,0,20,18,18
"MSTRG.16811",71,102,68,12,8,9
"MSTRG.22003",125,148,205,22,25,32
"MSTRG.23351",105,60,81,0,0,8
"MSTRG.23350",136,106,85,3,6,6
"MSTRG.23357",161,95,172,7,8,10
"MSTRG.23355",3,103,126,30,37,30
"MSTRG.23354",271,199,353,19,11,10
"MSTRG.16460",0,0,0,29,15,17
"MSTRG.23359",0,0,0,17,12,26
"MSTRG.23358",1705,1285,887,24,24,40
"MSTRG.16466",44,260,33,68,104,132
"MSTRG.52368",72,113,18,8,7,6
"MSTRG.13380",321,266,551,12,24,28
"MSTRG.49150",0,0,0,61,95,35
"MSTRG.49153",3,4,1,27,36,45
"MSTRG.49152",0,2,14,31,57,35
"MSTRG.29602",1710,1542,2306,5,0,0
"MSTRG.49159",0,0,0,20,22,11
"MSTRG.49158",2,0,3,41,24,41
"MSTRG.29609",246,487,436,29,26,40
"MSTRG.51716",14,24,13,19,14,26
"MSTRG.51712",48,0,183,25,4,6
"MSTRG.51713",23,0,68,23,3,7
"MSTRG.50045",0,3,5,19,14,13
"MSTRG.50047",0,0,0,16,18,16
"MSTRG.50046",1,2,0,34,16,36
"MSTRG.50042",0,3,0,19,20,36
"MSTRG.50048",8,0,0,23,12,33
"MSTRG.11118",0,0,3,16,13,18
"MSTRG.11119",28,15,14,17,27,30
"MSTRG.11110",2832,3490,2005,47,49,107
"MSTRG.11111",17,22,13,16,0,0
"MSTRG.11112",3,5,1,17,15,15
"MSTRG.11113",1397,852,2132,0,4,6
"MSTRG.11114",17,211,52,8,5,6
"MSTRG.22916",15,264,396,13,8,27
"MSTRG.22917",37,18,68,17,3,20
"MSTRG.22914",0,0,1,24,19,53
"MSTRG.26202",90,85,73,10,16,8
"MSTRG.26201",34,57,37,5,20,15
"MSTRG.49904",0,0,0,29,22,22
"MSTRG.26204",226,256,243,12,14,15
"MSTRG.40945",335,195,279,7,4,10
"MSTRG.40944",49,85,83,0,10,5
"MSTRG.18232",0,0,0,47,31,23
"MSTRG.24511",183,214,104,8,6,5
"MSTRG.40943",72,71,45,51,35,24
"MSTRG.40942",38,23,19,7,18,15
"MSTRG.14560",95,15,42,8,15,0
"MSTRG.14567",12,69,17,6,7,2
"MSTRG.49844",0,0,0,13,36,12
"MSTRG.49848",53,17,9,0,12,5
"MSTRG.46393",70,12,11,35,19,13
"MSTRG.46390",12,15,13,21,11,4
"MSTRG.46396",285,90,157,16,11,6
